name,position,age,school_club,height,weight,status,country
Darius Acuff,G,19,Arkansas,6-2,186 lbs,Freshman,United States
Michael Ajayi,F,22,Butler,6-7,228 lbs,Senior,United States
Nate Ament,F,19,Tennessee,6-10,211 lbs,Freshman,United States
Mohammad Amini,F,21,Nancy Basket (France),6-7,176 lbs,International,Iran
Christian Anderson,G,20,Texas Tech,6-1,180 lbs,Sophomore,United States
Donovan Atwell,G,23,Texas Tech,6-5,200 lbs,Senior,United States
Tobe Awaka,F,22,Arizona,6-8,255 lbs,Senior,United States
Bassala Bagayoko,C,19,Bilbao Basket (Spain),6-9,210 lbs,International,Mali
Chad Baker-Mazara,G-F,26,USC,6-7,172 lbs,Senior,Dominican Republic
Pavle Bačko,F,18,Mega Superbet (Serbia),6-8,262 lbs,International,Serbia
Tyler Bilodeau,F,22,UCLA,6-8,228 lbs,Senior,United States
Nate Bittle,C,23,Oregon,7-0,210 lbs,Senior,United States
Cameron Boozer,F-C,18,Duke,6-8,253 lbs,Freshman,United States
Kylan Boswell,G,21,Illinois,6-1,226 lbs,Senior,United States
Nick Boyd,G,25,Wisconsin,6-3,177 lbs,Senior,United States
Jaden Bradley,G,22,Arizona,6-3,205 lbs,Senior,United States
Trevon Brazile,F,23,Arkansas,6-10,226 lbs,Senior,United States
Maliq Brown,F,22,Duke,6-8,217 lbs,Senior,United States
Mikel Brown Jr.,G,20,Louisville,6-5,180 lbs,Freshman,United States
Brayden Burries,G,20,Arizona,6-4,215 lbs,Freshman,United States
Cameron Carr,G,21,Baylor,6-5,184 lbs,Sophomore,United States
Tre Carroll,C,23,Xavier,6-8,235 lbs,Senior,United States
Rafael Castro,C,23,George Washington,6-9,224 lbs,Senior,United States
Chris Cenac Jr.,F-C,19,Houston,6-11,240 lbs,Freshman,United States
Oscar Cluff,C,24,Purdue,6-11,250 lbs,Senior,Australia
Ryan Conwell,G,21,Louisville,6-4,215 lbs,Senior,United States
Quadir Copeland,G,22,N.C. State,6-6,200 lbs,Senior,United States
Melvin Council Jr.,G,24,Kansas,6-4,185 lbs,Senior,United States
Sergio De Larrea,G,20,Vallodolid (Spain),6-6,205 lbs,International,Spain
Tucker DeVries,F,23,Indiana,6-7,215 lbs,Senior,United States
Josh Dix,G,21,Creighton,6-6,205 lbs,Senior,United States
Tre Donaldson,G,22,Miami (FL),6-3,198 lbs,Senior,United States
AJ Dybantsa,F,19,BYU,6-9,217 lbs,Freshman,United States
Zuby Ejiofor,F-C,22,St. John's,6-8,245 lbs,Senior,United States
Isaiah Evans,G,20,Duke,6-6,186 lbs,Sophomore,United States
Francesco Ferrari,F,20,Virtus Bologna (Italy),6-7,198 lbs,International,Italy
Kingston Flemings,G,19,Houston,6-3,183 lbs,Freshman,United States
Marc-Owen Fodzo Dada,G,19,Nancy Basket (France),6-2,180 lbs,International,France
Ja'Kobi Gillespie,G,22,Tennessee,6-0,182 lbs,Senior,United States
Allen Graves,F,19,Santa Clara,6-8,226 lbs,Freshman,United States
Keyshawn Hall,F,23,Auburn,6-6,227 lbs,Senior,United States
Jaden Henley,G,22,Grand Canyon,6-7,210 lbs,Senior,United States
Bryce Hopkins,F,24,St. John's,6-6,218 lbs,Senior,United States
Graham Ike,F,23,Gonzaga,6-9,250 lbs,Senior,United States
Vsevolod Ishchenko,G,21,Lokomotiv Kuban (Russia),6-8,218 lbs,International,Russia
Joshua Jefferson,F,22,Iowa State,6-8,246 lbs,Senior,United States
Morez Johnson Jr.,F-C,20,Michigan,6-9,250 lbs,Sophomore,United States
Alex Karaban,F,23,Connecticut,6-7,225 lbs,Senior,United States
Trey Kaufman-Renn,F,23,Purdue,6-9,240 lbs,Senior,United States
Jack Kayil,G,20,Alba Berlin (Germany),6-5,185 lbs,International,Germany
Jaxon Kohler,F,22,Michigan State,6-10,245 lbs,Senior,United States
William Kyle III,C,22,Syracuse,6-9,230 lbs,Senior,United States
Tobi Lawal,F,23,Virginia Tech,6-8,215 lbs,Senior,England
Xaivian Lee,G,22,Florida,6-3,177 lbs,Senior,United States
Yaxel Lendeborg,F,23,Michigan,6-9,241 lbs,Senior,United States
Malique Lewis,F,20,South East Melbourne (Australia),6-8,195 lbs,International,Trinidad and Tobago
Tamin Lipsey,G,22,Iowa State,6-1,200 lbs,Senior,United States
Karim Lopez,F,19,New Zealand Breakers (Australia),6-8,222 lbs,International,Mexico
Fletcher Loyer,G,22,Purdue,6-3,180 lbs,Senior,United States
Aday Mara,C,21,Michigan,7-3,260 lbs,Junior,Spain
Nick Martinelli,F,22,Northwestern,6-7,224 lbs,Senior,United States
Rienk Mast,C,24,Nebraska,6-10,250 lbs,Senior,Netherlands
Isaac McKneely,G,22,Louisville,6-4,205 lbs,Senior,United States
Duke Miles,G,24,Vanderbilt,6-0,180 lbs,Senior,United States
Baba Miller,F,22,Cincinnati,6-11,208 lbs,Senior,Spain
Mark Mitchell,C,19,Missouri,6-9,230 lbs,Senior,United States
Malachi Moreno,C,19,Kentucky,7-0,243 lbs,Freshman,United States
Kashie Natt,G,23,Sam Houston State,6-3,190 lbs,Senior,United States
Izaiyah Nelson,C,22,South Florida,6-8,219 lbs,Senior,United States
Tyler Nickel,G-F,22,Vanderbilt,6-8,217 lbs,Senior,United States
Aaron Nkrumah,F,24,Tennessee State,6-6,175 lbs,Senior,United States
Ebuka Okorie,G,19,Stanford,6-1,186 lbs,Freshman,United States
Felix Okpara,F-C,22,Tennessee,6-10,237 lbs,Senior,Nigeria
Ugonna Onyenso,C,21,Virginia,6-11,237 lbs,Senior,Nigeria
Otega Oweh,G,22,Kentucky,6-5,216 lbs,Senior,United States
Koa Peat,F,19,Arizona,6-7,245 lbs,Freshman,United States
Darryn Peterson,G,19,Kansas,6-5,199 lbs,Freshman,United States
Labaron Philon Jr.,G,20,Alabama,6-3,176 lbs,Sophomore,United States
Jaron Pierre Jr.,G-F,23,Southern Methodist,6-6,210 lbs,Senior,United States
Jayden Quaintance,F-C,18,Kentucky,6-9,253 lbs,Sophomore,United States
Tarris Reed Jr.,C,22,Connecticut,6-10,260 lbs,Senior,United States
Malik Reneau,F,23,Miami (FL),6-9,238 lbs,Senior,United States
Richie Saunders,G,24,BYU,6-5,205 lbs,Senior,United States
Jaylin Sellers,G,23,Providence,6-5,205 lbs,Senior,United States
Emanuel Sharp,G,22,Houston,6-3,208 lbs,Senior,Israel
Braden Smith,G,22,Purdue,5-10,167 lbs,Senior,United States
Hannes Steinbach,F-C,20,Washington,6-10,248 lbs,Freshman,Germany
Bennett Stirtz,G,22,Iowa,6-3,186 lbs,Senior,United States
Peter Suder,G,22,Miami (Ohio),6-4,213 lbs,Senior,United States
Luigi Suigo,C,19,KK Mega Bemax (Serbia),5-2,250 lbs,International,Italy
Dailyn Swain,F,20,Texas,6-7,211 lbs,Junior,United States
Meleek Thomas,G-F,19,Arkansas,6-3,190 lbs,Freshman,United States
Bruce Thornton,G,22,Ohio State,6-0,223 lbs,Senior,United States
Seth Trimble,G,21,North Carolina,6-3,200 lbs,Senior,United States
Ernest Udeh Jr.,C,22,Miami (FL),6-11,266 lbs,Senior,United States
Milos Uzan,G,23,Houston,6-3,185 lbs,Senior,United States
Henri Veesaar,C,22,North Carolina,6-11,227 lbs,Junior,Estonia
Keaton Wagler,G,19,Illinois,6-5,188 lbs,Freshman,United States
Jalen Washington,C,22,Vanderbilt,6-10,240 lbs,Senior,United States
Lamar Wilkerson,G,24,Indiana,6-6,206 lbs,Senior,United States
Darrion Williams,F,23,N.C. State,6-6,225 lbs,Senior,United States
Caleb Wilson,F,19,North Carolina,6-9,211 lbs,Freshman,United States
Noam Yaacov,G,21,Telenet BC Oostende (Belgium),6-0,190 lbs,International,Denmark
Reynan dos Santos,F,22,Mexico City Capitanes (G League),6-4,187 lbs,G League,Brazil
